r_profile_id,asset_name,asset_id
6272322,45,541
10916741,73,9
6722862,483,4
6726049,484,5
6726182,485,2
6726457,486,3
6722861,487,10
6293463,610,540
6227946,610,540
9576,936,6
25789270,1669,1216
24727379,618,1195
25734493,618,1195
24727378,618,1195
24727376,618,1195
24727375,618,1195
24727377,618,1195
24300790,1155,1193
1057083,20,539
2712431,21,348
12454035,23,989
12453932,24,990
4923262,30,851
6296284,35,607
5716905,40,1180
13513407,679,1140
1154378,56,374
3552532,60,628
1562581,63,544
1562582,63,544
2026871,66,538
1685677,70,812
2982709,74,466
10018704,84,835
1544020,94,804
2558138,96,766
3663504,120,1299
3663475,138,1292
4007843,139,643
22264725,187,706
19584781,188,707
2547267,191,414
3663379,192,1267
30110224,195,609
30110225,195,609
20652372,199,1105
22501997,231,1092
5094702,250,848
5094702,250,846
5094702,250,847
2852163,254,470
2854906,255,468
2854927,256,471
2852123,257,469
6289123,258,862
19937037,259,565
5723413,260,771
4328717,261,678
19937038,262,566
19937039,263,567
5781639,264,772
11871028,265,1142
11870276,266,1143
4376374,267,564
11865833,274,598
5814085,275,600
5814072,276,602
5814079,277,559
11862521,278,599
11863829,279,601
3663513,281,1301
3663352,288,1257
3929630,289,477
3929756,289,477
4497359,290,769
25677205,314,1098
4559783,320,798
3928962,323,1225
3663532,333,1307
19584784,334,621
19584785,335,624
19584786,336,625
19584788,337,622
19584791,338,623
19584792,339,626
3663610,344,1320
2969999,359,613
16305233,360,816
11933654,361,815
21832982,362,817
3663468,377,1290
3964787,388,473
3663456,420,1286
3663287,421,1231
12454060,422,994
12454147,423,995
12454729,424,996
12454841,425,997
18731535,442,933
20023581,443,938
20023588,445,934
16053910,446,935
18665075,448,937
6782086,450,1141
3663616,457,1321
3663262,458,1227
3663556,467,1308
3663407,504,1271
3663297,505,1235
3663471,507,1291
3663458,508,1287
3663480,509,1294
6566782,518,784
16782658,519,785
5839381,522,832
3663350,525,1255
3663462,526,1288
4361701,546,640
17604293,557,805
8493551,558,836
3588389,563,299
2834223,577,404
2834223,577,405
2834223,577,406
2834223,577,407
2834223,577,408
3943573,598,476
3943579,598,476
3943581,598,476
3943574,598,476
3943584,598,476
3943582,598,476
3943547,598,476
3943472,598,476
3663298,619,1236
3663578,622,1314
19584794,623,857
19584796,624,858
11867700,625,859
3663618,626,1322
19926249,629,1120
3663411,636,1273
2746037,644,479
2746037,644,480
2236836,646,523
1790187,647,415
2053121,648,416
3406439,649,562
3432455,650,548
23730502,651,668
10018583,652,833
3663530,654,1306
3663507,676,1300
3663351,681,1256
5857398,698,418
5857400,698,418
5857443,698,418
5857444,698,418
29823014,739,1103
13513782,740,346
13513781,741,345
6280626,749,834
3663416,770,1276
3928958,780,399
3928961,780,399
3663374,786,1264
3663521,787,1304
2855118,790,341
17352843,793,608
25151,804,930
2549495,812,553
3588555,816,642
3663651,823,1324
18253979,824,845
2303877,835,417
2890584,835,417
2284838,835,417
25201909,839,1101
25148926,850,838
3663481,852,1295
6054177,854,757
15998,872,560
12454944,875,1000
12454974,876,1001
14471424,878,1013
14480975,879,1015
14479383,880,1011
14482184,881,1014
14471458,882,1010
14478904,883,1006
14471683,884,1004
14472271,885,1012
14472414,886,1005
14471711,887,1009
14471620,888,1007
14471815,889,1008
13800838,891,837
3663432,896,1281
12445782,899,1144
18222781,900,1145
24759489,904,651
24759490,905,652
24759491,906,653
1352199,907,420
1401465,908,421
3663648,920,1323
14731687,957,790
3663366,975,1261
3663428,996,1279
3663291,1001,1233
3663289,1002,1232
3930332,1013,396
3930338,1013,396
3930251,1013,396
3928191,1014,397
3067075,1036,400
2855213,1037,342
3663485,1038,1296
3663445,1041,1282
2972759,1043,375
19926242,1082,1112
4380799,1084,583
1263521,1085,1219
19835265,1089,1113
24282079,1092,1100
3663682,1096,1326
4858433,1101,779
4858433,1101,780
3663376,1105,1265
3663309,1111,1241
3663314,1112,1242
3663339,1113,1251
3928173,1117,398
3928179,1117,398
3663299,1129,1237
24224196,1135,1096
1066624,1136,722
1328297,1137,723
15673260,1141,844
3663276,1156,1230
3663365,1184,1260
20116,1187,860
3663591,1194,1319
4045889,1196,715
4134278,1197,714
2964333,1212,410
2964320,1213,411
25120482,1215,1139
25120485,1216,1138
25120487,1217,1137
22455738,1220,352
22455739,1221,568
30110226,1225,610
30110227,1226,611
4046675,1235,636
6798918,1263,886
3663582,1269,1317
3663386,1270,1268
19835280,1280,1115
3582208,1281,451
3596891,1281,451
3921930,1281,451
3927789,1281,451
3579485,1281,451
3582871,1281,451
18753941,1281,451
3583153,1281,451
3583123,1281,451
3583250,1281,451
3596826,1281,451
18753929,1281,451
3914172,1281,451
3582197,1281,451
6187818,1291,461
30100,1292,462
19920482,1293,1102
6295817,1300,605
6295840,1301,606
6295835,1301,605
23375827,1301,606
23375828,1301,606
2854807,1306,402
22502267,1312,1099
5142005,1313,682
3663341,1318,1252
12455736,1324,1002
18394,1330,486
9614,1330,486
9645,1331,495
9643,1332,483
9676,1334,485
9679,1335,492
9655,1336,488
9674,1337,493
9623,1338,494
9628,1339,496
9611,1340,491
9667,1342,489
9619,1343,490
9681,1344,482
9625,1345,527
9621,1346,532
9662,1347,530
9612,1348,534
9646,1349,531
9615,1350,528
9626,1351,529
9620,1352,533
3663333,1355,1248
3663417,1365,1277
3663344,1366,1253
7657,1372,303
7657,1372,304
5950569,1373,725
6331843,1373,725
6331848,1373,725
6331852,1373,725
15086881,1381,982
15086818,1382,983
15086886,1383,984
15086821,1384,985
2963897,1385,589
2964311,1386,586
2964312,1387,590
2964329,1388,591
2967358,1389,587
2964374,1390,596
2964391,1391,588
2964380,1392,595
2964503,1393,592
2967350,1394,593
2967356,1395,594
3336342,1400,456
3336342,1400,467
3336342,1400,458
3336342,1400,459
14888957,1401,518
11867834,1402,517
11867783,1403,519
15997,1412,460
2854803,1417,349
2854799,1419,390
2854800,1420,373
3422674,1421,618
4046919,1422,677
3422661,1424,617
3422628,1425,615
4034737,1426,350
3422659,1427,616
6301368,1430,875
29823026,1434,1226
18269788,1435,710
3663355,1454,1258
3663425,1458,1278
3663519,1459,1302
12925773,1473,755
18222556,1474,756
22006520,1479,1146
19926248,1481,1119
3663269,1489,1228
4475602,1492,799
4475602,1492,800
4475602,1492,801
3663431,1494,1280
3663448,1495,1284
3663573,1498,1311
3663337,1508,1250
3663334,1510,1249
3663293,1512,1234
3663581,1514,1316
19926243,1515,1114
3663318,1516,1243
3663557,1521,1309
12455741,1532,1003
3663500,1534,1298
2789960,1536,392
1776879,1541,1223
3663685,1546,1327
6244835,1548,687
6246307,1566,782
3422059,1579,639
29823085,1588,525
19920473,1594,1093
3663564,1596,1310
3663447,1600,1283
24727374,1612,1148
6207484,1617,709
3663377,1622,1266
3315077,1630,569
3431772,1631,413
3431797,1632,457
3431763,1633,478
4361948,1634,664
16344992,1653,991
16344993,1654,992
16344995,1655,993
12454855,1656,998
12454934,1657,999
3663476,1658,1293
3663323,1659,1246
20652373,1678,1104
13404775,1685,661
11855525,1686,662
20245860,1692,1117
20245862,1694,1118
2964555,1706,409
4230670,1716,761
24759492,1727,680
3663372,1736,1263
2970027,1737,326
28470160,1744,475
28470162,1744,475
28470163,1744,475
3927732,1744,475
3927738,1744,475
3928000,1744,475
3928027,1744,475
19920477,1749,1097
3972784,1753,474
2009074,1754,372
14410925,1756,849
3969180,1758,292
3969267,1758,292
3969539,1758,292
3663576,1759,1313
19920475,1760,1095
2855267,1767,472
3663320,1784,1245
3663303,1785,1239
1479951,1787,378
6770745,1809,1130
3663525,1810,1305
3663520,1811,1303
3663319,1812,1244
15140099,1814,1221
4380803,1822,1224
3663414,1823,1274
3663679,1830,1325
2617169,48,554
11770075,51,1342
1129774,53,763
20781719,65,1061
29857971,82,814
6771095,91,962
11867842,114,558
3663488,116,1330
19869347,121,1028
20781717,122,1060
26528217,129,1016
26528218,130,1017
24134405,146,879
13051146,157,840
23764073,159,1159
12443878,161,970
20781720,170,1062
22012975,190,1357
6600079,198,465
14524205,242,873
1534284,273,356
1923129,286,449
1923151,286,449
1923131,286,449
1923153,286,449
1923130,286,449
1923141,286,449
1923143,286,449
1923134,286,449
1923144,286,449
1923146,286,449
1923139,286,449
1923135,286,449
1923149,286,449
1923156,286,449
1923154,286,449
1923159,286,449
1923160,286,449
1923127,286,449
1923158,286,449
1923133,286,449
14818281,291,960
3663617,294,1331
14410916,317,683
