city_state_province_id,city,state_province
1,Amsterdam,
2,Berlin,
3,Birkenhead,
4,Bishop Aukland,
5,Boston,
6,Bournemouth,
7,Bridlington,
8,Brighton,
9,Bristol,
10,Brough,
11,Bury St. Edmunds,
12,Cardiff,
13,Chandlers Ford,
14,Chorleywood,
15,Cienega de flores,
16,Ciudad Juarez,
17,Coventry,
18,Dudley,
19,Fuchu,
20,Grantham,
21,Hayes,
22,Hull,
23,Ipswich,
24,Kuala Lumpur,
25,Leeds,
26,London,
27,Manchester,
28,Mansfield,
29,Newport,
30,Paris,
31,Ramos Arizpe,
32,Reynosa,
33,Rotherham,
34,Silao,
35,Singapore,
36,Stafford,
37,Telford,
38,Tijuana,
39,WHITBY,
40,Welshpool,
41,Wirral,
42,Wolverhampton,
43,Yokosuka,
44,Birmingham,AL
45,Vestavia Hills,AL
46,Avondale,AZ
47,Chandler,AZ
48,Gilbert,AZ
49,Goodyear,AZ
50,Mesa,AZ
51,Oro Valley,AZ
52,Peoria,AZ
53,Phoenix,AZ
54,Scottsdale,AZ
55,TEMPE,AZ
56,Tempe,AZ
57,Aberdeen,Aberdeenshire
58,Aguascalientes,Aguascalientes
59,Saint-Quentin-Fallavier,Auvergne-Rhône-Alpes
60,Bitonto BA,BA
61,Waghäusel,Baden-Württemberg
62,Tijuana,Baja California
63,Fürstenfeldbruck,Bayern
64,Wörnitz,Bayern
65,Shefford,Bedfordshire
66,Theale,Berkshire
67,Berlin,Berlin
68,Grossbeeren,Brandenburg
69,Grünheide,Brandenburg
70,Ludwigsfelde,Brandenburg
71,High Wycombe,Buckinghamshire
72,Marlow,Buckinghamshire
73,Alameda,CA
74,Anaheim,CA
75,Baldwin Park,CA
76,Bell,CA
77,Berkeley,CA
78,Berkley,CA
79,Bloomington,CA
80,Buena Park,CA
81,Campbell,CA
82,Canoga Park,CA
83,Chatsworth,CA
84,Chino,CA
85,City of Industry,CA
86,Colton,CA
87,Compton,CA
88,Coronado,CA
89,Costa Mesa,CA
90,Culver City,CA
91,Cupertino,CA
92,Dublin,CA
93,EL Segundo,CA
94,Elk Grove,CA
95,Emeryville,CA
96,Encinitas,CA
97,Escondido,CA
98,Fair Oaks,CA
99,Folsom,CA
100,Foster City,CA
101,Fremont,CA
102,Gardena,CA
103,Glendora,CA
104,Huntington Beach,CA
105,Irvine,CA
106,Jurupa Valley,CA
107,LA Puente,CA
108,Livermore,CA
109,Long Beach,CA
110,Los Angeles,CA
111,Manteca,CA
112,Marina Del Ray,CA
113,Marina Del Rey,CA
114,Menlo Park,CA
115,Monterey,CA
116,Moreno Valley,CA
117,Newbury Park,CA
118,Newport Beach,CA
119,North Hollywood,CA
120,Oceanside,CA
121,Ontario,CA
122,Pacifica,CA
123,Palm Desert,CA
124,Pasadena,CA
125,Perris,CA
126,Pomona,CA
127,Pompano Beach,CA
128,Rancho Cordova,CA
129,Redwood City,CA
130,Roseville,CA
131,Sacramento,CA
132,Salinas,CA
133,San Diego,CA
134,San Francisco,CA
135,San Jose,CA
136,San Leandro,CA
137,Santa Ana,CA
138,Santa Clara,CA
139,Santa Cruz,CA
140,Santa Fe,CA
141,Santa Fe Springs,CA
142,Santa Monica,CA
