r_profile_id,r_profile_name,bought_date,year_built,gfa_sqft,gla_sqft,profile_active,wbtc,lifecycle_stage_id,management_co_id,r_primary_property_type_id,profile_source_id,region_country_id,city_state_province_id
6272322,1,2017-06-02,2016,80033,80033,1,1,1,162,32,1,16,236
19920482,1468,2021-12-15,1989,325778,304440,1,0,1,33,1,1,16,236
1129774,207,2014-12-18,1990,284477,266052,1,0,1,114,22,1,16,236
24134405,345,2017-12-17,2020,407670,407670,1,1,1,121,2,1,16,236
6722862,406,2018-03-09,2018,88350,88350,1,1,1,121,1,1,16,134
5857398,1766,2004-12-22,1991,327001,327001,1,1,1,121,2,1,16,134
5857400,1767,2004-12-22,1991,333271,333271,1,1,1,121,2,1,16,134
5857443,1768,2004-12-22,1991,358705,358705,1,1,1,121,2,1,16,134
5857444,1769,2004-12-22,1991,129553,129553,1,1,1,121,2,1,16,134
6722861,1523,2018-03-19,2018,146306,146306,1,1,1,121,3,1,16,134
7657,1522,1984-12-18,1982,1058773,952896,1,0,1,96,17,1,16,134
1110564,1441,2010-04-30,1984,738880,664992,1,0,1,92,17,1,16,134
4123849,858,2014-04-04,1987,107503,107503,1,1,1,38,15,1,16,134
14744648,362,2017-12-06,2021,137747,137747,1,1,1,100,3,1,16,134
6726049,522,2018-03-19,2018,166731,166731,1,1,1,121,1,1,16,77
2026871,228,2007-01-24,1977,120409,120409,1,1,1,7,17,1,16,77
6726182,913,2018-03-19,2018,213090,213090,1,1,1,121,1,1,16,114
6726457,1436,2018-03-19,2018,364579,364579,1,1,1,121,1,1,16,100
1685677,234,2015-12-03,1985,713855,429919,1,0,1,1,17,1,16,631
9620,1736,2007-01-12,1991,214324,171459,1,0,1,44,32,2,16,631
12757802,1821,2019-11-25,2016,89994,44091,1,0,1,11,30,1,16,631
1562581,224,2007-08-01,1990,264742,238268,1,0,1,2,17,1,16,227
1562582,226,2007-08-01,1990,108040,97236,1,0,1,2,17,1,16,227
6246307,1679,2015-06-09,2017,368368,368368,1,1,1,121,2,1,16,227
29857971,738,2015-12-15,2001,224049,201644,1,1,3,150,17,1,16,227
20251195,1903,2020-06-30,1900,350116,152767,1,1,1,11,30,1,16,227
2053121,285,2004-12-31,2001,167670,167670,1,1,1,7,17,1,16,95
23730502,284,2016-05-27,2018,268664,268664,1,1,1,7,17,1,16,95
2284838,288,2004-12-31,1975,78111,78111,1,1,1,7,17,1,16,95
3406439,276,2008-05-15,2012,99694,99694,1,1,1,7,10,1,16,95
1790187,278,2004-12-21,1999,275443,275443,1,1,1,7,12,1,16,95
2303877,281,2004-12-31,1924,10000,10000,1,1,1,7,15,1,16,95
2890584,282,2004-12-31,1945,6370,6370,1,1,1,7,15,1,16,95
2236836,279,2008-10-30,2008,247619,247619,1,1,1,7,18,1,16,95
3432455,277,2007-08-27,1971,39203,39203,1,1,1,7,18,1,16,95
10916741,1578,2019-07-22,2017,442998,442998,1,1,1,58,2,1,16,432
3067075,1257,2010-07-08,2002,184262,184262,1,1,1,14,1,1,16,432
6867581,1826,2017-12-21,2014,119981,119981,1,0,1,35,30,1,16,432
13513407,205,2019-11-14,2022,302709,302709,1,1,1,121,2,1,16,627
18222781,1126,2021-02-01,2021,833616,833616,1,1,1,66,16,1,16,627
3663365,52,2005-07-14,2009,54515,46338,1,0,1,108,29,1,16,627
20400127,1893,2015-10-30,1990,131809,105447,1,1,1,162,32,1,16,627
2969999,373,2010-10-06,2008,349577,349577,1,1,1,121,3,1,16,638
14482184,1109,2020-08-12,2002,210000,210000,1,1,1,10,16,1,16,638
15998,1098,2010-12-29,2009,1173810,1173810,1,1,1,134,14,2,16,638
14731687,1781,2015-08-14,2018,501080,501080,1,1,1,56,2,1,16,638
9626,1542,2007-01-12,1985,171143,136914,1,0,1,44,32,2,16,638
19917568,195,2021-12-02,2018,45685,null,1,0,1,108,29,1,16,638
3663606,136,2005-07-14,2000,76390,71807,1,0,1,108,29,1,16,638
19917569,197,2021-12-02,2020,85838,null,1,0,1,108,29,1,16,638
2854671,1651,2008-12-31,2006,167914,134331,1,0,1,66,32,1,16,638
3663392,66,2005-07-14,2009,53992,44813,1,0,1,108,29,1,16,638
16305233,581,2016-03-11,2020,364434,null,1,1,1,121,3,1,16,137
11933654,582,2016-03-11,2020,314751,314751,1,1,1,121,3,1,16,137
21832982,583,2016-03-11,2021,511770,419649,1,1,1,121,3,1,16,137
3663318,28,2005-07-14,2009,86800,86800,1,0,1,108,29,1,16,137
19926249,903,2021-12-07,2020,321074,321074,1,1,1,121,3,1,16,74
9681,1740,2006-10-31,1976,105338,84270,1,0,1,44,32,2,16,74
19926248,1609,2021-12-07,2019,339837,339777,1,0,1,121,3,1,16,74
25151,1773,2018-09-19,2018,284595,284595,1,1,1,121,3,2,16,593
13253316,1383,2018-11-20,2021,345894,345894,1,0,1,138,1,1,16,593
20033724,1509,2021-12-07,2020,46797,46797,1,1,1,162,32,1,16,593
20033725,1510,2021-12-07,2020,15556,15556,1,1,1,162,32,1,16,593
20033726,1511,2021-12-07,2020,7347,7347,1,1,1,162,32,1,16,593
20033727,1512,2021-12-07,2020,5356,5356,1,1,1,162,32,1,16,593
25148926,1079,2016-08-31,2021,555736,555736,1,1,1,121,3,1,16,129
3663519,112,2005-07-14,2009,68057,60571,1,0,1,108,29,1,16,129
1923129,493,2005-08-18,2001,50305,45275,1,1,1,142,12,1,16,129
1923151,494,2005-08-18,2001,50464,45418,1,0,1,142,12,1,16,129
1923131,495,2005-08-18,2001,50400,45360,1,1,1,142,12,1,16,129
1923153,496,2005-08-18,2001,50473,45426,1,0,1,142,12,1,16,129
1923130,497,2005-08-18,2001,50471,45424,1,1,1,142,12,1,16,129
1923141,498,2005-08-18,2001,49981,44983,1,1,1,142,12,1,16,129
1923143,499,2005-08-18,2001,50470,45423,1,1,1,142,12,1,16,129
1923134,500,2005-08-18,2001,50031,45028,1,1,1,142,17,1,16,129
1923144,501,2005-08-18,2001,50603,45543,1,1,1,142,12,1,16,129
1923146,502,2005-08-18,2001,48384,43546,1,1,1,142,12,1,16,129
