r_profile_id,sold_date
30110224,2023-09-28
30110225,2023-09-28
29823014,2023-07-25
30110226,2023-09-28
30110227,2023-09-28
29823026,2023-07-20
29823085,2023-09-12
28470160,2022-12-27
28470162,2022-12-27
28470163,2022-12-27
29857971,2023-09-14
23634708,2023-08-31
29911120,2023-09-30
63468,2023-06-12
14888357,2022-05-12
19270,2022-09-01
42960,2023-06-27
21008098,2022-05-06
22865995,2022-03-29
22865998,2022-03-29
22866000,2022-03-29
22866001,2022-03-29
22866002,2022-03-29
22866003,2022-03-29
22866035,2022-03-29
22866016,2022-03-29
26480264,2022-12-31
1527746,2022-09-09
1527751,2022-09-09
1527754,2022-09-09
26476783,2022-07-21
22866087,2022-06-21
22866021,2022-03-29
26477288,2023-03-30
26477901,2023-03-30
22866045,2022-03-29
23943757,2022-07-14
28357986,2023-06-15
9608,2022-04-18
9653,2022-03-15
25409463,2023-02-17
25313860,2023-01-18
23316305,2022-03-29
19920474,2022-05-16
14889286,2022-10-27
25313863,2022-05-24
22871367,2022-05-24
6221268,2022-05-24
25313864,2022-05-24
25313866,2022-05-24
9722,2023-01-06
6352850,2022-05-24
9711,2023-01-06
23943749,2022-02-17
22866078,2022-05-24
26494464,2023-03-15
26494504,2023-03-15
41540,2023-05-01
23209310,2023-03-31
41539,2023-05-01
26475807,2023-03-27
41537,2023-06-09
41538,2023-05-01
41541,2023-05-01
20955,2022-12-15
9694,2022-01-20
13458145,2022-04-26
26476393,2023-03-27
9685,2023-03-16
23329752,2022-05-24
23246792,2022-05-24
25313921,2022-11-21
25313921,2022-11-21
23640601,2022-10-27
15969532,2022-08-22
15936123,2023-05-31
14889289,2022-01-26
28119925,2023-05-01
20346,2022-07-25
20293760,2022-03-01
30392,2022-05-03
28605762,2023-02-15
13513682,2022-05-19
23316289,2022-08-05
26494698,2023-03-16
26494699,2023-03-16
23209313,2022-07-21
28470156,2023-07-13
23209319,2022-08-25
28358534,2023-06-30
23209323,2022-04-28
19937043,2022-10-12
19937044,2023-04-14
20414043,2023-05-13
72266,2022-01-27
25608,2021-07-27
1860643,2021-11-01
1422311,2019-06-21
4380801,2019-11-21
1479875,2020-02-26
9673,2020-01-10
9630,2020-01-10
9613,2020-01-10
21888842,2021-09-21
5716747,2021-09-21
5716725,2021-09-21
11878172,2021-09-21
5716749,2021-09-21
5716726,2021-09-21
5716732,2021-09-21
22861156,2021-09-21
5716754,2021-09-21
5716743,2021-09-21
5716741,2021-09-21
5810542,2021-04-01
6207476,2019-05-30
6207477,2019-05-30
6207478,2019-05-30
6207479,2019-05-30
6207480,2019-05-30
6207481,2019-05-30
6229669,2019-05-30
6207482,2019-05-30
6207483,2019-05-30
9669,2019-11-19
9680,2019-11-19
24706,2019-11-19
9606,2019-11-19
9647,2019-11-19
9642,2019-11-19
9651,2019-11-19
4055883,2021-06-29
17984402,2021-09-10
